AOI,,Pipeline,,Injection_WellPads,,LegacyWells,,AppraisalWells,,CrossSection,,References,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6092.392511736406,54999.21313347361,39852.07211805558,13768.43445312906,45944.46462979198,47968.60814450389,56993.83750471197,80526.55273268485,50112.228641913935,23356.26371867038,16233.538855831272,24591.42428378797,11292.896595360886,4652.403732603909
6204.179530300377,58632.29123680267,40485.53188991808,16645.78573304127,52539.898725066254,45266.75582974791,57170.28901401448,77350.42556523961,37937.07450004047,13651.430707032108,75344.79447217341,81408.81027919741,39172.23506515808,3593.694676788819
6204.179530300377,57961.56912541884,39963.85913661955,14811.779959726126,41819.00770469578,51412.053697770076,26114.823376772052,42236.57521403936,,,,,48524.1650581913,42060.123704736834
6315.966548864348,62284.00050989239,41305.303359387195,16823.946293877598,,,32996.43223957009,32178.839183796066,,,,,70051.24919309799,44883.34785357706
6315.966548864348,61482.86021018392,43457.20346674363,17220.19135075168,,,,,,,,,49053.519586098846,71880.42877686169
6315.966548864348,60532.67055239017,44882.48795343426,17466.72165062043,,,,,,,,,,
6427.753567428319,65563.08638776885,46048.26686131567,50855.10865956642,,,,,,,,,,
6427.753567428319,64333.429183565175,47198.07619511652,50519.7476038745,,,,,,,,,,
6427.753567428319,63550.920053617374,47509.48288968757,48264.045264994376,,,,,,,,,,
6539.540585992289,68525.44237971408,47965.946548823784,45548.55227237792,,,,,,,,,,
6539.540585992289,67742.93324976628,48273.360849874705,17485.35282038109,,,,,,,,,,
6539.540585992289,67128.10464766444,49116.42128154465,45315.662650369646,,,,,,,,,,
6651.327604556261,70928.86327883945,49689.329751685,17857.976215594328,,,,,,,,,,
6651.327604556261,69922.78011176371,50471.8388816328,44470.90847599419,,,,,,,,,,
7433.836734504055,53490.088382860005,51669.55693767535,43727.35542827324,,,,,,,,,,
8048.6653366058945,53490.088382860005,51403.39736966589,18185.88480338198,,,,,,,,,,
8328.132883015822,73052.81663155489,51813.28310440045,19849.648263009065,,,,,,,,,,
8607.60042942575,53490.088382860005,52570.95067466736,21435.160809641395,,,,,,,,,,
10787.44729142318,72871.16272638844,52372.2181972203,41528.877396515134,,,,,,,,,,
11122.808347115091,53378.301364296036,53098.83381788611,36286.06622586491,,,,,,,,,,
11346.382384243032,72929.85091113452,53322.407855014055,34318.61469913903,,,,,,,,,,
12501.514909404063,53378.301364296036,53378.301364296036,22262.384747014774,,,,,,,,,,
12631.933097728695,72829.24259442695,53322.407855014055,37482.18732449939,,,,,,,,,,
